gene_id	protein_id	product	transcript_id
LOC135219088	XP_064111589.1	tetratricopeptide repeat protein 23-like isoform X4	XM_064255519.1
LOC135219088	XP_064111586.1	tetratricopeptide repeat protein 23-like isoform X1	XM_064255516.1
LOC135219088	XP_064111585.1	tetratricopeptide repeat protein 23-like isoform X1	XM_064255515.1
LOC135219088	XP_064111588.1	tetratricopeptide repeat protein 23-like isoform X3	XM_064255518.1
LOC135219088	XP_064111587.1	tetratricopeptide repeat protein 23-like isoform X2	XM_064255517.1
LOC135219088	XP_064111590.1	tetratricopeptide repeat protein 23-like isoform X5	XM_064255520.1
LOC135219089	XP_064111592.1	protein O-mannosyl-transferase TMTC4-like isoform X1	XM_064255522.1
LOC135219089	XP_064111591.1	protein O-mannosyl-transferase TMTC4-like isoform X1	XM_064255521.1
LOC135219089	XP_064111593.1	protein O-mannosyl-transferase TMTC4-like isoform X2	XM_064255523.1
LOC135219090	XP_064111594.1	armadillo repeat-containing protein 6-like	XM_064255524.1
LOC135219091	XP_064111595.1	S-phase kinase-associated protein 1	XM_064255525.1
LOC135219092	XP_064111596.1	acyl-CoA:lysophosphatidylglycerol acyltransferase 1-like isoform X1	XM_064255526.1
LOC135219092	XP_064111597.1	acyl-CoA:lysophosphatidylglycerol acyltransferase 1-like isoform X2	XM_064255527.1
LOC135219093	XP_064111598.1	NAD(P)H pyrophosphatase NUDT13, mitochondrial-like isoform X1	XM_064255528.1
LOC135219093	XP_064111599.1	NAD(P)H pyrophosphatase NUDT13, mitochondrial-like isoform X2	XM_064255529.1
LOC135219095	XP_064111601.1	phosphatidylinositol N-acetylglucosaminyltransferase subunit H-like isoform X2	XM_064255531.1
LOC135219095	XP_064111600.1	phosphatidylinositol N-acetylglucosaminyltransferase subunit H-like isoform X1	XM_064255530.1
LOC135220360	XP_064113649.1	uncharacterized protein LOC135220360	XM_064257579.1
LOC135220361	XP_064113650.1	uncharacterized protein LOC135220361	XM_064257580.1
LOC135219096	XP_064111602.1	RCC1-like G exchanging factor-like protein	XM_064255532.1
LOC135219097	XP_064111604.1	gastrula zinc finger protein XlCGF57.1-like	XM_064255534.1
LOC135219097	XP_064111603.1	gastrula zinc finger protein XlCGF57.1-like	XM_064255533.1
LOC135219098	XP_064111608.1	bromodomain-containing protein 7-like isoform X2	XM_064255538.1
LOC135219098	XP_064111605.1	bromodomain-containing protein 7-like isoform X1	XM_064255535.1
LOC135219098	XP_064111606.1	bromodomain-containing protein 7-like isoform X1	XM_064255536.1
LOC135219098	XP_064111607.1	bromodomain-containing protein 7-like isoform X1	XM_064255537.1
LOC135219099	XP_064111609.1	repulsive guidance molecule B-like	XM_064255539.1
LOC135219099	XP_064111610.1	repulsive guidance molecule B-like	XM_064255540.1
LOC135220363	XP_064113651.1	nascent polypeptide-associated complex subunit alpha, muscle-specific form-like	XM_064257581.1
LOC135220364	XP_064113652.1	uncharacterized protein LOC135220364	XM_064257582.1
LOC135220365	XP_064113653.1	uncharacterized protein LOC135220365	XM_064257583.1
LOC135220366	XP_064113654.1	golgin subfamily A member 6-like protein 25	XM_064257584.1
LOC135220367	XP_064113655.1	uncharacterized protein LOC135220367	XM_064257585.1
LOC135219100	XP_064111612.1	uncharacterized protein LOC135219100	XM_064255542.1
LOC135219100	XP_064111611.1	uncharacterized protein LOC135219100	XM_064255541.1
LOC135220368	XP_064113656.1	uncharacterized protein LOC135220368	XM_064257586.1
LOC135219102	XP_064111613.1	inositol-tetrakisphosphate 1-kinase-like	XM_064255543.1
LOC135219103	XP_064111614.1	inositol-tetrakisphosphate 1-kinase-like	XM_064255544.1
LOC135219104	XP_064111616.1	NAD-dependent protein deacylase-like	XM_064255546.1
LOC135219105	XP_064111617.1	mRNA export factor Gle1-like	XM_064255547.1
LOC135219106	XP_064111618.1	uncharacterized protein LOC135219106	XM_064255548.1
LOC135219107	XP_064111619.1	LOW QUALITY PROTEIN: tRNA (guanine(6)-N2)-methyltransferase THUMP3-like	XM_064255549.1
LOC135220369	XP_064113657.1	trichohyalin-like	XM_064257587.1
LOC135219108	XP_064111620.1	cytokine-inducible SH2-containing protein-like	XM_064255550.1
LOC135218682	XP_064111201.1	LOW QUALITY PROTEIN: bromodomain and WD repeat-containing protein 3-like	XM_064255131.1
LOC135220034	XP_064113437.1	bromodomain and WD repeat-containing protein 3-like	XM_064257367.1
