gene_id	protein_id	reference_accession	gene_symbol	identity(%)	coverage(%)	bit_score	evalue
LOC135224517	XP_064077101.1	NP_000002.2	A2M	32.26	9.00	-	-
LOC135194849	XP_064077103.1	NP_000001.3	A1BG	50.00	2.00	-	-
LOC135194850	XP_064077104.1	NP_000014.2	AAK1	31.03	28.00	-	-
LOC135194851	XP_064077105.1	NP_000001.3	A1BG	40.00	3.00	-	-
LOC135194852	XP_064077106.1	NP_000014.2	AAK1	55.56	5.00	-	-
LOC135194853	XP_064077107.1	NP_000001.3	A1BG	60.00	6.00	-	-
LOC135194853	XP_064077108.1	NP_000001.3	A1BG	60.00	6.00	-	-
LOC135194853	XP_064077109.1	NP_000001.3	A1BG	60.00	6.00	-	-
LOC135194855	XP_064077110.1	NP_000001.3	A1BG	33.33	18.00	-	-
LOC135194855	XP_064077111.1	NP_000001.3	A1BG	31.82	17.00	-	-
LOC135194855	XP_064077112.1	NP_000001.3	A1BG	33.33	22.00	-	-
LOC135194854	XP_064077113.1	NP_000014.2	AAK1	25.00	9.00	-	-
LOC135194856	XP_064077114.1	NP_000014.2	AAK1	50.00	5.00	-	-
LOC135194857	XP_064077115.1	NP_000001.3	A1BG	55.56	6.00	-	-
LOC135194859	XP_064077116.1	NP_000001.3	A1BG	29.63	35.00	-	-
LOC135194860	XP_064077117.1	NP_000014.2	AAK1	30.30	57.00	-	-
LOC135194861	XP_064077118.1	NP_000001.3	A1BG	28.12	43.00	-	-
LOC135194862	XP_064077119.1	NP_000001.3	A1BG	29.63	41.00	-	-
LOC135194854	XP_064077120.1	NP_001018081.3	AAAS	22.73	7.00	-	-
LOC135194863	XP_064077121.1	NP_000001.3	A1BG	29.63	41.00	-	-
LOC135194864	XP_064077122.1	NP_001018081.3	AAAS	57.14	18.00	-	-
LOC135194864	XP_064077123.1	NP_000002.2	A2M	27.27	24.00	-	-
LOC135194865	XP_064077124.1	NP_000001.3	A1BG	29.41	33.00	-	-
LOC135194866	XP_064077125.1	NP_000002.2	A2M	27.27	10.00	-	-
LOC135194867	XP_064077126.1	NP_000001.3	A1BG	20.00	45.00	-	-
LOC135194868	XP_064077127.1	NP_000001.3	A1BG	32.14	18.00	-	-
LOC135194854	XP_064077128.1	NP_001018081.3	AAAS	22.73	7.00	-	-
LOC135194869	XP_064077129.1	NP_000014.2	AAK1	35.13	22.00	-	-
LOC135194869	XP_064077130.1	NP_000014.2	AAK1	31.58	38.00	-	-
LOC135194870	XP_064077131.1	NP_000014.2	AAK1	32.43	24.00	-	-
LOC135194871	XP_064077132.1	NP_000014.2	AAK1	35.13	24.00	-	-
LOC135194872	XP_064077133.1	NP_000001.3	A1BG	30.30	49.00	-	-
LOC135194873	XP_064077134.1	NP_000001.3	A1BG	29.41	43.00	-	-
LOC135194874	XP_064077135.1	NP_000001.3	A1BG	29.41	43.00	-	-
LOC135194854	XP_064077136.1	NP_000014.2	AAK1	25.00	15.00	-	-
LOC135194875	XP_064077137.1	NP_000001.3	A1BG	29.41	43.00	-	-
LOC135194876	XP_064077138.1	NP_000001.3	A1BG	29.41	43.00	-	-
LOC135194877	XP_064077139.1	NP_000001.3	A1BG	31.03	39.00	-	-
LOC135194847	XP_064077140.1	NP_001018081.3	AAAS	50.00	2.00	-	-
LOC135194878	XP_064077141.1	NP_000014.2	AAK1	40.00	13.00	-	-
LOC135194879	XP_064077142.1	NP_000014.2	AAK1	32.26	16.00	-	-
LOC135194879	XP_064077143.1	NP_000014.2	AAK1	32.26	16.00	-	-
LOC135194880	XP_064077144.1	NP_000001.3	A1BG	38.09	24.00	-	-
LOC135194854	XP_064077145.1	NP_000014.2	AAK1	25.00	16.00	-	-
LOC135194881	XP_064077146.1	NP_000001.3	A1BG	27.12	36.00	-	-
LOC135194882	XP_064077147.1	NP_000001.3	A1BG	26.79	38.00	-	-
LOC135194883	XP_064077148.1	NP_000014.2	AAK1	37.74	3.00	-	-
LOC135194883	XP_064077149.1	NP_000014.2	AAK1	37.74	3.00	-	-
LOC135194883	XP_064077150.1	NP_000014.2	AAK1	37.74	3.00	-	-
LOC135194884	XP_064077151.1	NP_001018081.3	AAAS	31.82	9.00	-	-
LOC135194884	XP_064077152.1	NP_001018081.3	AAAS	31.82	9.00	-	-
LOC135194884	XP_064077153.1	NP_001018081.3	AAAS	31.82	10.00	-	-
LOC135194854	XP_064077154.1	NP_000014.2	AAK1	25.00	16.00	-	-
LOC135194886	XP_064077156.1	NP_000002.2	A2M	27.78	21.00	-	-
LOC135194887	XP_064077157.1	NP_000001.3	A1BG	50.00	22.00	-	-
LOC135194888	XP_064077158.1	NP_000001.3	A1BG	26.67	11.00	-	-
LOC135194889	XP_064077159.1	NP_000014.2	AAK1	42.86	12.00	-	-
LOC135194890	XP_064077160.1	NP_000002.2	A2M	71.43	6.00	-	-
LOC135194891	XP_064077161.1	NP_000002.2	A2M	27.78	32.00	-	-
LOC135194891	XP_064077162.1	NP_000002.2	A2M	27.78	32.00	-	-
LOC135194892	XP_064077166.1	NP_000005.2	A2MP1	46.15	5.00	-	-
LOC135194894	XP_064077167.1	NP_001018081.3	AAAS	30.77	15.00	-	-
LOC135194895	XP_064077168.1	NP_001018081.3	AAAS	30.77	15.00	-	-
LOC135194895	XP_064077169.1	NP_000001.3	A1BG	27.91	49.00	-	-
LOC135194895	XP_064077170.1	NP_000001.3	A1BG	27.91	49.00	-	-
LOC135194896	XP_064077171.1	NP_000001.3	A1BG	50.00	21.00	-	-
LOC135194897	XP_064077172.1	NP_000001.3	A1BG	50.00	24.00	-	-
LOC135194892	XP_064077173.1	NP_000005.2	A2MP1	46.15	5.00	-	-
LOC135194898	XP_064077174.1	NP_000001.3	A1BG	47.37	23.00	-	-
LOC135194899	XP_064077175.1	NP_000002.2	A2M	71.43	9.00	-	-
LOC135194899	XP_064077176.1	NP_000002.2	A2M	71.43	9.00	-	-
LOC135194900	XP_064077177.1	NP_000014.2	AAK1	50.00	5.00	-	-
LOC135194900	XP_064077178.1	NP_000014.2	AAK1	50.00	5.00	-	-
LOC135194901	XP_064077180.1	NP_000002.2	A2M	39.13	23.00	-	-
LOC135194892	XP_064077181.1	NP_000005.2	A2MP1	46.15	5.00	-	-
LOC135194902	XP_064077182.1	NP_000014.2	AAK1	40.00	6.00	-	-
LOC135194903	XP_064077183.1	NP_000001.3	A1BG	60.00	19.00	-	-
LOC135194904	XP_064077184.1	NP_000002.2	A2M	71.43	35.00	-	-
LOC135194905	XP_064077185.1	NP_000002.2	A2M	71.43	35.00	-	-
LOC135194905	XP_064077186.1	NP_000002.2	A2M	71.43	35.00	-	-
LOC135194905	XP_064077187.1	NP_000005.2	A2MP1	35.29	20.00	-	-
LOC135194906	XP_064077188.1	NP_000002.2	A2M	26.83	46.00	-	-
LOC135194907	XP_064077189.1	NP_000002.2	A2M	42.86	3.00	-	-
LOC135194920	XP_064077190.1	NP_000014.2	AAK1	41.67	3.00	-	-
